State,Phase,Time Period,Time Period Start Date,Time Period End Date,Region,Perc of Pop with Symptoms of Depression,Perc of Pop with Symptoms of Anxiety,Perc of Pop with Symptoms of Either,Region_Northeast,Region_South,Region_West
Alabama,1.0,1,2020-04-23,2020-05-05,South,18.6,25.6,30.3,0,1,0
Alabama,1.0,2,2020-05-07,2020-05-12,South,22.5,27.2,30.6,0,1,0
Alabama,1.0,3,2020-05-14,2020-05-19,South,19.6,20.7,25.2,0,1,0
Alabama,1.0,4,2020-05-21,2020-05-26,South,20.9,25.2,28.8,0,1,0
Alabama,1.0,5,2020-05-28,2020-06-02,South,28.4,31.6,37.5,0,1,0
Alabama,1.0,6,2020-06-04,2020-06-09,South,27.7,33.7,36.9,0,1,0
Alabama,1.0,7,2020-06-11,2020-06-16,South,26.7,33.9,38.1,0,1,0
Alabama,1.0,8,2020-06-18,2020-06-23,South,27.5,33.7,38.0,0,1,0
Alabama,1.0,9,2020-06-25,2020-06-30,South,26.5,28.7,35.9,0,1,0
Alabama,1.0,10,2020-07-02,2020-07-07,South,28.6,34.4,39.6,0,1,0
Alabama,1.0,11,2020-07-09,2020-07-14,South,30.4,34.9,40.1,0,1,0
Alabama,1.0,12,2020-07-16,2020-07-21,South,32.7,39.9,43.3,0,1,0
Alabama,2.0,13,2020-08-19,2020-08-31,South,27.7,30.6,37.2,0,1,0
Alabama,2.0,14,2020-09-02,2020-09-14,South,25.2,33.7,38.1,0,1,0
Alabama,2.0,15,2020-09-16,2020-09-28,South,28.6,30.8,37.2,0,1,0
Alabama,2.0,16,2020-09-30,2020-10-12,South,25.0,29.4,33.6,0,1,0
Alabama,2.0,17,2020-10-14,2020-10-26,South,27.7,29.9,36.0,0,1,0
Alabama,3.0,18,2020-10-28,2020-11-09,South,33.8,35.3,44.8,0,1,0
Alabama,3.0,19,2020-11-11,2020-11-23,South,31.5,40.1,43.8,0,1,0
Alabama,3.0,20,2020-11-25,2020-12-07,South,30.5,32.5,38.5,0,1,0
Alabama,3.0,21,2020-12-09,2020-12-21,South,35.1,39.1,44.0,0,1,0
Alabama,3.0,22,2021-01-06,2021-01-18,South,29.3,36.8,42.0,0,1,0
Alabama,3.0,23,2021-01-20,2021-02-01,South,32.1,36.6,43.4,0,1,0
Alabama,3.0,24,2021-02-03,2021-02-15,South,29.8,35.1,40.1,0,1,0
Alabama,3.0,25,2021-02-17,2021-03-01,South,27.6,30.0,36.5,0,1,0
Alabama,3.0,26,2021-03-03,2021-03-15,South,29.0,33.1,38.1,0,1,0
Alabama,3.0,27,2021-03-17,2021-03-29,South,24.8,29.8,34.5,0,1,0
Alabama,3.1,28,2021-04-14,2021-04-26,South,24.3,29.8,35.5,0,1,0
Alabama,3.1,29,2021-04-28,2021-05-10,South,27.3,28.1,33.3,0,1,0
Alabama,3.1,30,2021-05-12,2021-05-24,South,22.7,23.8,28.0,0,1,0
Alabama,3.1,31,2021-05-26,2021-06-07,South,21.5,27.7,31.8,0,1,0
Alabama,3.1,32,2021-06-09,2021-06-21,South,24.5,24.4,29.5,0,1,0
Alabama,3.1,33,2021-06-23,2021-07-05,South,25.3,31.0,35.9,0,1,0
Alabama,3.2,34,2021-07-21,2021-08-02,South,25.3,29.9,35.3,0,1,0
Alabama,3.2,35,2021-08-04,2021-08-16,South,21.1,26.3,29.9,0,1,0
Alabama,3.2,36,2021-08-18,2021-08-30,South,28.4,34.5,38.5,0,1,0
Alabama,3.2,37,2021-09-01,2021-09-13,South,24.4,30.7,34.2,0,1,0
Alabama,3.2,38,2021-09-15,2021-09-27,South,23.0,27.4,32.4,0,1,0
Alabama,3.2,39,2021-09-29,2021-10-11,South,24.4,28.7,34.1,0,1,0
Alabama,3.3,40,2021-12-01,2021-12-13,South,26.2,27.0,32.1,0,1,0
Alabama,3.3,41,2021-12-29,2022-01-10,South,25.9,26.7,33.9,0,1,0
Alabama,3.3,42,2022-01-26,2022-02-07,South,26.1,30.4,33.8,0,1,0
Alabama,3.4,43,2022-03-02,2022-03-14,South,26.4,26.4,33.5,0,1,0
Alabama,3.4,44,2022-03-30,2022-04-11,South,21.1,22.2,28.6,0,1,0
Alabama,3.4,45,2022-04-27,2022-05-09,South,23.1,27.4,31.0,0,1,0
Alabama,3.5,46,2022-06-01,2022-06-13,South,28.8,32.1,37.7,0,1,0
Alabama,3.5,47,2022-06-29,2022-07-11,South,28.7,30.7,37.4,0,1,0
Alabama,3.5,48,2022-07-27,2022-08-08,South,32.6,38.8,42.3,0,1,0
Alabama,3.6,49,2022-09-14,2022-09-26,South,29.7,34.6,42.7,0,1,0
Alabama,3.6,50,2022-10-05,2022-10-17,South,24.3,30.2,34.5,0,1,0
Alabama,3.6,51,2022-11-02,2022-11-14,South,28.8,32.4,39.0,0,1,0
Alabama,3.7,52,2022-12-09,2022-12-19,South,27.1,32.2,36.9,0,1,0
Alabama,3.7,53,2023-01-04,2023-01-16,South,28.3,33.0,38.2,0,1,0
Alabama,3.7,54,2023-02-01,2023-02-13,South,25.2,30.5,34.7,0,1,0
Alabama,3.8,55,2023-03-01,2023-03-13,South,27.4,34.0,38.5,0,1,0
Alabama,3.8,56,2023-03-29,2023-04-10,South,27.3,29.2,37.1,0,1,0
Alabama,3.8,57,2023-04-26,2023-05-08,South,28.8,30.6,37.9,0,1,0
Alabama,3.9,58,2023-06-07,2023-06-19,South,25.5,27.1,35.1,0,1,0
Alabama,3.9,59,2023-06-28,2023-07-10,South,27.3,29.3,36.9,0,1,0
Alabama,3.9,60,2023-07-26,2023-08-07,South,25.0,30.7,35.1,0,1,0
Alabama,3.1,61,2023-08-23,2023-09-04,South,22.1,26.3,30.4,0,1,0
Alabama,3.1,62,2023-09-20,2023-10-02,South,24.3,34.0,38.2,0,1,0
Alaska,1.0,1,2020-04-23,2020-05-05,West,19.2,27.7,31.5,0,0,1
Alaska,1.0,2,2020-05-07,2020-05-12,West,25.1,27.4,35.7,0,0,1
Alaska,1.0,3,2020-05-14,2020-05-19,West,23.6,26.2,32.7,0,0,1
Alaska,1.0,4,2020-05-21,2020-05-26,West,26.8,31.6,36.4,0,0,1
Alaska,1.0,5,2020-05-28,2020-06-02,West,24.4,26.1,31.6,0,0,1
